,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
609,檸檬葉(DRIED LEMON LEAVES),農藥殘留含量不符規定,檢出殘留農藥貝芬替0.07 ppm、克福隆0.54 ppm、陶斯松1.85 ppm、待克利0.59 ppm、丁基滅必蝨0.60 ppm、益達胺0.19 ppm、巴克素0.12 ppm、佈飛松0.10 ppm、普克利0.17 ppm、拜裕松0.43 ppm、得克利0.07 ppm、賽滅寧2.0 ppm、滅必蝨0.20 ppm及畢達本0.11 ppm,依據「農藥殘留容許量標準」，農藥貝芬替、克福隆、陶斯松、待克利、丁基滅必蝨、益達胺、巴克素、佈飛松、普克利、拜裕松、得克利定量極限為0.05 ppm、賽滅寧定量極限為0.5 ppm、滅必蝨及畢達本不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '克利', '0.07', '滅必蝨', '福隆', '檢出', '殘留', '農藥', '貝芬', '0.54', '陶斯松', '1.85', '0.59', '0.60', '益達胺', '0.19', '0.12', '飛松', '0.10', '0.17', '拜裕松', '0.43', '賽滅寧', '2.0', '0.20', '畢達本', '0.11', '丁基', '巴克']"
610,綠茶(GREEN BROKEN TEA),農藥殘留含量不符規定,檢出殘留農藥賽果培0.19 ppm,依據「農藥殘留容許量標準」，農藥賽果培定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '果培', '0.19', 'ppm']"
611,辣椒段(CUTTED CHILLI),農藥殘留含量不符規定,檢出殘留農藥三落松0.08 ppm,依據「農藥殘留容許量標準」，農藥三落松定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '三落松', '0.08', 'ppm']"
612,芫荽粒(CORIANDER WHOLE),農藥殘留含量不符規定,檢出殘留農藥菲克利0.06 ppm、佈飛松0.30 ppm、百克敏0.11 ppm、依普座0.19 ppm、芬普尼及其代謝物0.047 ppm,依據「農藥殘留容許量標準」，農藥菲克利、佈飛松、百克敏、依普座定量極限均為0.05 ppm、芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥', '0.06', '飛松', '0.30', '0.11', '依普座', '0.19', '芬普尼', '代謝物', '0.047', '百克', '及其']"
613,冷凍草莓(FROZEN DICED STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥歐滅松0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '歐滅', '0.02', 'ppm']"
614,"冷凍草蝦仁(FROZEN SEA TIGER SHRIMPS PUD, IQF (SIZE:51/60))",動物用藥殘留含量不符規定,檢出動物用藥磺胺胍(sulfaguanidine) 0.01 ppm,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出', '動物', '用藥', 'sulfaguanidine', '0.01', 'ppm', '磺胺']"
615,冷凍草蝦仁(FROZEN PUD BLACK TIGER SHRIMP (PENAEUS MONODON) SIZE:26/30(PCS/LB)),動物用藥殘留含量不符規定,檢出動物用藥恩氟奎林羧酸(Enrofloxacin) 0.03 ppm,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出', '動物用', '藥恩氟奎林', 'Enrofloxacin', '0.03', 'ppm', '羧酸']"
616,地瓜(FRESH SWEET POTATO (IPOMOEA BATATAS VAR. EDULIS)),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.022 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.022', 'ppm']"
617,冷凍透抽(FROZEN SQUID),動物用藥殘留含量不符規定,檢出動物用藥氯黴素0.0028 ppm,本案不符合食品安全衛生管理法第15條有關「動物用藥殘留標準」規定。,"['檢出', '動物用', '藥氯黴素', '0.0028', 'ppm']"
618,丹波黑濃厚系黑豆茶(TAMBA SPECIES BLACK BEAN TEA BAG),農藥殘留含量不符規定,檢出殘留農藥撲滅寧0.03 ppm,依據「農藥殘留容許量標準」，農藥撲滅寧定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '滅寧', '0.03', 'ppm']"
619,PP叉子(PLASTIC CUTLERY),容器具-溶出試驗不符規定,案內產品以4%醋酸(攝氏95度30分鐘)溶出試驗結果，蒸發殘渣37 ppm,依據「食品器具容器包裝衛生標準」，原材料(聚丙烯)其溶出試驗4%醋酸(攝氏95度30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '攝氏', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣', '37', 'ppm', '醋酸']"
620,日風美耐筷(10雙入)(BA-015-1 日風美耐筷(10雙入)),容器具-溶出試驗不符規定,案內產品以4%醋酸(90°C，30分鐘)溶出試驗結果，蒸發殘渣值355 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠其溶出試驗4%醋酸(90°C，30分鐘)溶出之蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定,"['案內產品', '4%', '90', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '355', 'ppm', '醋酸']"
621,孜然茴香(孜然),農藥殘留含量不符規定,檢出殘留農藥菲克利0.07 ppm、得克利0.06 ppm,依據「農藥殘留容許量標準」，農藥菲克利及得克利定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥', '0.07', '0.06', '克利']"
622,鮮奇異果(KIWI FRUIT(RED)),農藥殘留含量不符規定,檢出殘留農藥布芬淨0.03 ppm、可尼丁0.02 ppm、賽普洛0.03 ppm、賽速安0.07 ppm及Pyribencarb 0.04 ppm,依據「農藥殘留容許量標準」，農藥可尼丁、賽普洛及賽速安定量極限皆為0.01 ppm，農藥布芬淨及Pyribencarb為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.03', '檢出', '殘留', '農藥布', '芬淨', '可尼丁', '0.02', '賽普洛', '賽速安', '0.07', 'Pyribencarb', '0.04']"
623,"""紅龍""冷凍草莓 (IQF STRAWBERRY)",農藥殘留含量不符規定,檢出殘留農藥賽果培0.04 ppm,依據「農藥殘留容許量標準」，農藥賽果培定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '果培', '0.04', 'ppm']"
624,綠茶(GREEN TEA),農藥殘留含量不符規定,檢出殘留農藥因得克0.03 ppm,依據「農藥殘留容許量標準」，農藥因得克定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '因得克', '0.03', 'ppm']"
625,瀝水籃(瀝水籃【深綠】),容器具-溶出試驗不符規定,案內產品以4%醋酸(60℃、30分鐘)溶出試驗結果，瀝水籃本體及濾網蒸發殘渣值分別為77 ppm、135 ppm,依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類，其以4%醋酸(60℃、30分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符食品安全衛生管理法第17條規定。,"['ppm', '案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '瀝水籃', '本體', '濾網', '蒸發', '殘渣值', '分別', '77', '135', '醋酸']"
626,茶樹菇(BROWN SWORDBELT 柳松菇(茶樹菇)(乾品)),重金屬含量不符規定,檢出重金屬鉛5 mg/kg,依據「食品中污染物質及毒素衛生標準」，鉛限量為3 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鉛', 'mg', 'kg', '重金']"
627,TOMO牌羅望子醬320公克(FRIED FISH SAUCE TAMARIND),甜味劑含量不符規定,檢出甜味劑糖精0.01 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.01', 'kg', '糖精', '甜味']"
628,小荳蔻(GREEN CARDAMOM),農藥殘留含量不符規定,檢出殘留農藥賽滅寧0.9 ppm、佈飛松0.09 ppm、畢芬寧0.19 ppm、第滅寧0.05 ppm、賽洛寧0.67 ppm、益達胺0.32 ppm、賽速安0.25 ppm、待克利0.09 ppm、拜裕松0.57 ppm、因得克0.03 ppm、芬普尼及其代謝物0.075 ppm、納乃得0.12 ppm及愛殺松0.38 ppm,依據「農藥殘留容許量標準」，農藥賽滅寧容許量為0.5 ppm；佈飛松容許量為0.07 ppm；畢芬寧、第滅寧及賽洛寧容許量均為0.03 ppm；益達胺、賽速安、待克利、拜裕松定量極限均為0.05 ppm；因得克定量極限為0.01 ppm；芬普尼定量極限為0.002 ppm；納乃得及愛殺松為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.09', '檢出', '殘留', '農藥賽', '滅寧', '0.9', '飛松', '畢芬寧', '0.19', '第滅寧', '0.05', '賽洛寧', '0.67', '益達胺', '0.32', '賽速安', '0.25', '拜裕松', '0.57', '因得克', '0.03', '芬普尼', '代謝物', '0.075', '納乃得', '0.12', '及愛殺', '0.38', '克利', '及其']"
629,乾燥山椒(粒)(DRIED JAPANESE PEPPER (NON BRANCH & SEED)),農藥殘留含量不符規定,檢出殘留農藥亞滅培3.47 ppm、克凡派0.19 ppm及克收欣1.76 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、克凡派及克收欣定量極限皆為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥亞', '滅培', '3.47', '克凡', '0.19', '及克', '收欣', '1.76']"
630,冷凍牛油果(FROZEN CUT AVOCADO),農藥殘留含量不符規定,檢出殘留農藥芬普尼及其代謝物合計0.005 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '代謝', '物合計', '0.005', 'ppm', '及其']"
631,TURNNER-煎鏟-塑(0499-266 TURNNER-煎鏟-塑),容器具-溶出試驗不符規定,案內產品以水(攝氏95℃/30分鐘)、4%醋酸(攝氏95℃/30分鐘)溶出試驗結果，蒸發殘渣為39.5 ppm及34.5 ppm,依據「食品器具容器包裝衛生標準」，原材料聚醯胺(尼龍)其溶出試驗以水(攝氏95℃/30分鐘)、4%醋酸(攝氏95℃/30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['攝氏', '95', '30', '分鐘', 'ppm', '案內產品', '以水', '4%', '溶出', '試驗', '結果', '蒸發', '殘渣', '39.5', '34.5', '醋酸']"
632,BAO NGOC 辣椒粉(VCB001-1 BAO NGOC GIA VI OT XAY),農藥殘留含量不符規定,檢出殘留農藥芬普尼0.003 ppm,依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥芬', '普尼', '0.003', 'ppm']"
633,鮮金柑(FRESH KUMQUAT),農藥殘留含量不符規定,檢出殘留農藥得克利0.09 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.09', 'ppm', '克利']"
634,冷凍軟殼蟹(FROZEN SOFT SHELL CRAB (SCYLLA SERRATA)(SAMPLE)),重金屬含量不符規定,檢出重金屬鎘0.7 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.5 mg/kg以下，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.7', 'mg', 'kg', '重金']"
635,"印度胡荽粉(""NIRALA""CORAINDER POWDER)",農藥殘留含量不符規定,檢出殘留農藥菲克利0.1 ppm、佈飛松0.06 ppm及加保扶0.06 ppm,依據「農藥殘留容許量標準」，農藥菲克利、佈飛松定量極限均為0.05 ppm、加保扶為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.06', '菲克', '檢出', '殘留', '農藥', '0.1', '飛松', '及加', '保扶']"
636,冷凍花蝦(FROZEN FLOWER SHRIMP SIZE:30 PER BLOCK),重金屬含量不符規定,檢出鎘0.6 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '0.6', 'mg', 'kg']"
637,鮮蚵肉(FRESH OYSTER MEAT),微生物含量不符規定,檢出諾羅病毒陽性,染有病原性生物之食品不得輸入，本案不符合食品安全衛生管理法第15條第1項第4款規定。,"['檢出', '諾羅', '陽性', '病毒']"
638,鮮蚵肉(FRESH OYSTER MEAT),微生物含量不符規定,檢出諾羅病毒陽性,染有病原性生物之食品不得輸入，本案不符合食品安全衛生管理法第15條第1項第4款規定。,"['檢出', '諾羅', '陽性', '病毒']"
639,BLACK TEA CEYLON SUPREME 紅茶 錫蘭至尊紅茶(JAFTEA CEYLON SUPREME 100TB),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.36 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.36', 'ppm']"
640,鮮金柑(FRESH KUMQUAT),農藥殘留含量不符規定,檢出殘留農藥得克利0.19 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.19', 'ppm', '克利']"
641,陳皮普洱茶萃取粉末 食品(PU'ER TEA MIX WITH TANGERINE PEEL ),農藥殘留含量不符規定,檢出殘留農藥撲克拉0.09 ppm,依據「農藥殘留容許量標準」，農藥撲克拉定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.09', 'ppm', '克拉']"
642,印度葫蘆巴葉(AACHI DRY FENUGREEK LEVES),農藥殘留含量不符規定,檢出殘留農藥亞滅培1.46 ppm、貝芬替0.18 ppm、百克敏0.08 ppm、賽速安1.27 ppm、陶斯松0.90 ppm、待克利0.08 ppm、拜裕松0.12 ppm及得克利0.07 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、貝芬替、百克敏、賽速安、陶斯松、待克利、拜裕松及得克利定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '0.08', '克利', '檢出', '殘留', '農藥亞', '滅培', '1.46', '貝芬', '0.18', '賽速安', '1.27', '陶斯松', '0.90', '拜裕松', '0.12', '0.07', '百克']"
643,西芹,農藥殘留含量不符規定,檢出殘留農藥除蟲菊精0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '除蟲菊精', '0.02', 'ppm']"
644,萵苣,農藥殘留含量不符規定,檢出殘留農藥氟派瑞1.36 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '派瑞', '1.36', 'ppm']"
645,水瓶 750,容器具-溶出試驗不符規定,案內產品以正庚烷(25℃，1小時)溶出試驗結果，銀色瓶嘴部位蒸發殘渣檢出值為6609 ppm,依據「食品器具容器包裝衛生標準」，以聚乙烯為原料之塑膠類，以正庚烷(25℃，1小時)溶出試驗蒸發殘渣合格標準為150 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['庚烷', '案內產品', '25', '小時', '溶出', '試驗', '結果', '銀色', '蒸發', '殘渣', '檢出值', '6609', 'ppm', '部位']"
646,韓國LUSOL 桔梨橘子果凍,防腐劑含量不符規定,檢出防腐劑苯甲酸0.28 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.28', 'kg', '苯甲酸', '防腐']"
647,拜安泰-20 膠囊食品,防腐劑含量不符規定,檢出防腐劑對羥苯甲酸乙酯0.013 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非對羥苯甲酸乙酯表列准用之食品範圍，且業者未能提具相關佐證資料合理說明 ，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.013', 'kg', '乙酯', '苯甲酸', '防腐']"
648,乾茶樹菇,農藥殘留含量不符規定,檢出殘留農藥芬普尼0.063 ppm及芬普尼代謝物0.023 ppm(芬普尼及其代謝產物加總為0.086 ppm),依據「農藥殘留容許量標準」，農藥芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥芬', '普尼', '0.063', '及芬', '普尼代', '謝物', '0.023', '芬普尼', '代謝', '產物加', '總為', '0.086', '及其']"
649,紅茶,農藥殘留含量不符規定,檢出殘留農藥普拔克0.10 ppm,依據「農藥殘留容許量標準」，農藥普拔克定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '普拔克', '0.10', 'ppm']"
650,冷凍黑醋栗,農藥殘留含量不符規定,檢出殘留農藥賽普洛0.03 ppm、護汰寧0.02 ppm,依據「農藥殘留容許量標準」，農藥賽普洛、護汰寧定量極限均為0.01 ppm，本案不符食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥賽', '普洛', '0.03', '護汰寧', '0.02']"
651,山桑子萃取物10%,原子塵或放射能不符規定,檢出銫-137 166.7 Bq/kg,依據「食品中原子塵或放射能污染容許量標準」，銫-134與銫-137之總和限量為100 Bq/kg，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '137', '166.7', 'Bq', 'kg']"
652,印度香料茶 (Chai),防腐劑含量不符規定,檢出防腐劑水楊酸0.04 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，水楊酸非表列准用之食品添加物，且業者未能提具相關佐證資料合理說明，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '劑水', '楊酸', '0.04', 'kg', '防腐']"
